FrameNumber,NumberOfPeopleInCrowd
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,3
245,3
246,3
247,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,4
281,3
282,3
283,4
284,4
285,4
286,4
287,4
288,3
289,3
290,3
291,3
292,3
293,3
294,4
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,3
303,3
304,3
305,4
306,4
307,6
308,6
309,6
310,4
311,4
312,6
313,4
314,4
315,4
316,4
317,4
318,4
319,4
320,4
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,4
330,3
331,3
332,3
333,3
334,3
335,4
336,3
337,3
338,3
339,3
340,3
341,3
